Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
vcrs,2312,Electronics,FBM,"Small Oversize",0,232409,193,1,193,29,3.80,2,32,191,0,0,"Mar, 2023",8,2000,0.03
"rockford fosgate",2312,Electronics,FBM,"Large Standard-Size",1,41693,211.72,102,16086.35,1207,4.63,18,1587,-18,0,0,"Jun, 2022",8,1000,0.28
"samsung cu7000",2312,Electronics,FBM,N/A,7,193435,405.21,1594,115829.9,3390,4.22,6,25721,-68,0,0,"Jan, 2024",5,240,1.23
"apple products on sale",2312,Electronics,Amazon,"Large Standard-Size",7,1628,175.5,20603,2731738.08,93287,4.55,4,337900,7,3,-6,"Dec, 2023",1,4000,2.14
"outlet extender with usb",2312,Electronics,FBA,"Large Standard-Size",2,3006,12.56,10037,126018.28,15898,4.73,2,133295,1,80,-2,"Jan, 2024",5,1000,2.00
"apple watch series new",2312,Electronics,Amazon,"Large Standard-Size",26,6406,274.8,2159,471169.96,1871,4.49,9,45475,3,40,-6,"Dec, 2023",6,5000,8.88
"jbl 310",2312,Electronics,FBA,"Small Oversize",3,31908,270.95,954,183588.69,4959,4.61,9,17856,496,0,-14,"Nov, 2023",4,286,1.48
"sony zv1f",2312,Electronics,FBM,"Large Standard-Size",3,113720,580.8,134,72568.1,320,4.30,5,1700,-42,-51,39,"Dec, 2023",4,590,0.96
"apple earpods usb c",2312,Electronics,FBA,"Small Standard-Size",1,15470,34.29,6562,491402.5,21416,4.13,3,51699,38,0,3,"Jan, 2024",3,95,22.31
"bose wave radio",2312,Electronics,FBM,"Small Oversize",1,37505,1144.5,125,148725.89,2984,4.40,5,2858,-23,-35,33,"Dec, 2022",6,165,0.08
"jbl clip speaker",2312,Electronics,FBA,"Large Standard-Size",8,34709,52.69,1422,60063.19,14982,4.66,8,5587,,-34,-9,"Dec, 2023",5,267,4.82
"motorcycle speakers bluetooth",2312,Electronics,FBA,"Large Standard-Size",6,13647,79.95,116,9274.2,545,4.30,13,4079,,-67,11,"May, 2023",6,442,0.21
"fenix 6",2312,Electronics,FBA,"Large Standard-Size",8,66254,287.28,151,27605.12,1284,4.46,4,2644,50,0,0,"Nov, 2022",5,471,0.68
"printer cord",2312,Electronics,FBA,"Large Standard-Size",0,2792,6.99,1499,10478.01,898,4.70,1,13970,192,152,0,"Sep, 2023",7,2000,1.70
"overhead headphones bluetooth",2312,Electronics,FBA,"Large Standard-Size",7,4836,77.59,6085,430214.19,21414,4.47,5,65443,,-59,3,"Dec, 2023",3,353,1.38
"klipsch the fives",2312,Electronics,FBM,"Small Oversize",2,63048,514.39,353,83135.44,1810,4.53,7,5679,44,-91,0,"Dec, 2023",3,422,2.30
"on ear headphones",2312,Electronics,FBA,"Large Standard-Size",4,5147,35.24,3723,109860.01,16449,4.42,9,40496,62,-59,0,"May, 2023",10,3000,0.44
"bose surround speakers",2312,Electronics,FBM,"Small Oversize",2,41968,709,967,236871.66,5040,4.37,4,11764,-24,-10,0,"Dec, 2023",5,205,0.76
"vhf radio marine",2312,Electronics,Amazon,"Large Standard-Size",1,36813,135.24,120,14017.85,754,4.52,42,2534,103,32,0,"Jun, 2023",6,200,0.33
"beats fit pro ear tips",2312,Electronics,FBA,"Small Standard-Size",5,48871,11.01,453,4730.14,747,4.11,1,5395,14,225,0,"Jan, 2023",2,410,1.17
"android watch for women",2312,Electronics,FBA,"Small Standard-Size",8,9072,63.92,1048,64501.68,7043,4.19,3,13248,-43,0,1,"Jan, 2024",6,2000,1.61
"apple airpod pro ear tips",2312,Electronics,FBA,"Small Standard-Size",6,3409,12.64,3562,38901.61,6081,4.28,2,52036,79,0,0,"Nov, 2023",3,431,3.64
"google buds",2312,Electronics,FBA,"Large Standard-Size",5,53195,69.78,4804,269624.06,11789,3.95,6,39128,,0,0,"Dec, 2023",6,683,1.26
"hidden voice recorder",2312,Electronics,FBA,"Large Standard-Size",2,13879,47.71,800,36993.86,617,4.26,2,18222,92,0,0,"Jan, 2024",5,931,13.28
"double din apple carplay",2312,Electronics,FBA,"Large Standard-Size",2,17180,163.8,378,57988.83,720,4.16,7,3977,58,-48,0,"Jan, 2024",5,1000,2.07
"optical splitter",2312,Electronics,FBA,"Large Standard-Size",2,55134,17.43,207,3684.33,761,4.34,2,2384,86,0,0,"Jan, 2024",6,768,0.76
televisions,2312,Electronics,Amazon,"Small Oversize",12,6436,487.14,2328,566208.13,2267,4.40,14,45533,241,-84,-1,"Nov, 2023",9,1000,2.80
"ps5 gaming monitor",2312,Electronics,Amazon,"Small Oversize",6,2230,183.22,2730,396723.96,7528,4.54,8,28325,3,123,-9,"Jan, 2024",4,888,0.69
"content creator camera",2312,Electronics,FBA,"Large Standard-Size",3,20707,306,749,157936.46,1148,4.30,6,13774,4,0,0,"Dec, 2023",3,782,4.78
"sony a80l",2312,Electronics,FBM,"Large Oversize",14,232415,2623.34,149,227475.44,345,4.51,8,1325,,0,0,"Nov, 2023",3,57,1.03
"nikon zfc",2312,Electronics,FBM,"Large Standard-Size",2,433492,1298.84,14,21852.31,101,4.48,5,167,-30,0,0,"Dec, 2023",3,118,0.73
"asus rog monitor",2312,Electronics,Amazon,"Small Oversize",5,33673,434.54,309,123153.27,3168,4.48,22,4031,-38,49,-5,"Jan, 2024",5,191,0.19
"beats studio buds plus case",2312,Electronics,FBA,"Large Standard-Size",10,27442,11.78,226,2263.75,690,4.33,2,1878,-38,53,0,"Dec, 2022",2,170,2.79
"apple se watch",2312,Electronics,FBM,"Large Standard-Size",6,22357,179.56,196,36014.12,661,4.37,10,3739,44,-115,-7,"Sep, 2023",8,174,1.63
"samsung 85 inch 4k smart tv",2312,Electronics,FBM,"Special Oversize",25,74484,1866.4,142,220682.13,3423,4.34,8,1287,-71,0,-15,"Nov, 2023",3,146,0.32
"smart watch women",2312,Electronics,FBA,"Large Standard-Size",7,11871,74.85,1026,45262.83,6577,4.25,2,7052,9,0,-17,"Jan, 2024",8,2000,0.82
"pc speakers with subwoofer",2312,Electronics,FBA,"Large Standard-Size",4,5661,70.74,904,61710.72,1537,4.23,2,20752,,0,0,"Jan, 2024",4,806,0.65
"best wireless headphones",2312,Electronics,Amazon,"Large Standard-Size",7,2881,79.32,8749,608651.82,64406,4.48,3,133918,,0,112,"Dec, 2023",6,10000,1.06
"airpods cases",2312,Electronics,FBA,"Large Standard-Size",24,5125,7.85,1537,9710.68,12399,4.56,2,12572,68,33,0,"Jan, 2024",10,9000,3.29
"android auto wireless dongle",2312,Electronics,FBA,"Large Standard-Size",1,41724,61.01,923,57977.14,969,4.26,4,20048,15,0,0,"Jan, 2024",3,739,2.19
"wireless beats",2312,Electronics,Amazon,"Large Standard-Size",11,1406,162.01,6181,1068021.99,26400,4.44,6,80132,540,0,-7,"Jan, 2024",9,1000,6.96
"mac adapter multiport",2312,Electronics,FBA,"Small Standard-Size",5,3941,23.53,4537,84706.28,9366,4.43,1,33444,-62,27,0,"Jul, 2023",3,1000,0.54
"docking station for dell laptop",2312,Electronics,FBA,"Small Standard-Size",3,3609,71.4,1755,126669.73,4157,4.29,8,18114,-18,0,0,"Jan, 2024",4,1000,3.04
"webcam mount",2312,Electronics,FBA,"Small Standard-Size",0,13484,9.99,299,2987.01,196,3.80,1,2876,-26,168,0,"Jul, 2022",5,2000,1.53
"ski helmet speakers",2312,Electronics,FBA,"Large Standard-Size",2,14782,83.13,705,56150.03,1135,4.08,2,5632,10,0,0,"Jan, 2024",5,216,6.76
"apple ear buds wireless bluetooth earbuds",2312,Electronics,FBA,"Large Standard-Size",8,1756,75.36,13686,1251877.37,73236,4.46,3,207371,,27,1,"Jul, 2023",3,126,1.04
"table top tv stand",2312,Electronics,FBA,"Large Standard-Size",1,2711,32.71,3184,101570.4,10219,4.58,2,31788,107,-3,-4,"Jan, 2024",6,1000,1.01
"tribit stormbox blast",2312,Electronics,FBA,"Large Standard-Size",3,24219,92.04,1897,131096.99,11618,4.52,3,6384,,-44,0,"Jun, 2023",1,101,0.62
"monitors 27 inch",2312,Electronics,Amazon,"Small Oversize",6,2872,120.17,2611,312321.93,7078,4.56,7,25683,5,23,4,"Jan, 2024",8,1000,0.94
qn90c,2312,Electronics,FBM,"Large Oversize",19,172001,1593.13,160,217116.5,365,4.41,11,797,,0,-1,"Nov, 2023",4,93,0.94
"hisense 100 inch tv",2312,Electronics,Amazon,"Special Oversize",5,263489,2824.65,226,334008.03,389,3.87,4,208,53,0,0,"Nov, 2023",3,93,2.55
"pink beats headphones",2312,Electronics,FBA,"Large Standard-Size",10,3891,104.52,4317,464068.11,29843,4.46,3,40664,23,-31,3,"Dec, 2023",5,440,0.52
"airpods pro 2nd generation case magsafe",2312,Electronics,FBA,"Large Standard-Size",12,6014,13.56,2056,26777.52,1737,4.55,2,14686,,0,0,"Jan, 2024",4,458,3.77
"galaxy buds 2 pro case",2312,Electronics,FBA,"Large Standard-Size",9,16317,12.06,505,5318.34,1975,4.37,2,5727,43,0,0,"Jan, 2024",4,518,1.36
"strongest indoor tv antenna",2312,Electronics,FBA,"Large Standard-Size",1,13907,41.98,124,5205.52,2534,4.70,1,,,0,-19,"Jan, 2024",1,920,0.05
"vizio remote control for tv",2312,Electronics,FBA,"Large Standard-Size",1,2775,9.13,3689,35233.58,8931,4.56,3,39180,29,130,0,"Jan, 2023",5,2000,1.51
"owl video conference",2312,Electronics,Amazon,"Small Oversize",3,43263,1114.23,76,55021.05,59,4.05,2,1227,,50,-4,"Oct, 2023",2,76,17.02
"barra de sonido",2312,Electronics,FBA,"Large Standard-Size",4,5509,115.3,1889,206275.46,3658,4.29,5,24742,-10,244,1,"Jan, 2024",5,789,1.22
"bluetooth backup camera",2312,Electronics,FBA,"Large Standard-Size",1,25692,80.24,303,29248.57,850,4.19,2,4652,-38,0,-8,"Jan, 2024",6,457,1.70
"airpod case pink",2312,Electronics,FBA,"Large Standard-Size",18,22095,8.64,393,3245.28,6613,4.47,2,4661,101,107,0,"Jan, 2024",6,1000,3.48
"floor speakers",2312,Electronics,FBM,"Medium Oversize",2,80784,281.84,97,16352.69,1189,4.59,4,563,-35,0,0,"Jan, 2024",7,1000,1.16
"radio alarm clocks for bedrooms",2312,Electronics,FBA,"Large Standard-Size",3,16369,24.29,1849,35278.28,4708,4.26,2,22615,-17,13,0,"Dec, 2023",6,1000,1.47
"airpod pro max case",2312,Electronics,FBA,"Large Standard-Size",10,8310,18.27,911,14533.84,737,4.50,2,11180,-45,85,0,"Jan, 2024",3,366,15.03
"alexa tv",2312,Electronics,Amazon,"Small Oversize",18,1533,337.75,5768,1256137.53,3018,4.35,34,136656,1003,23,-2,"Nov, 2023",7,667,2.06
"tv 40 inch",2312,Electronics,Amazon,"Small Oversize",6,3991,188,3071,528975.85,2511,4.33,16,35977,337,0,1,"Nov, 2023",8,163,9.97
"surge protector tower",2312,Electronics,FBA,"Large Standard-Size",6,4373,27.7,1921,53123.74,4164,4.72,2,24416,,110,0,"Jan, 2024",5,310,1.35
"wire wrap",2312,Electronics,FBA,"Large Standard-Size",15,4528,11.3,2886,31332.22,9642,4.61,2,29267,-20,90,0,"Jan, 2024",7,9000,2.16
displaylink,2312,Electronics,FBA,"Large Standard-Size",3,31934,140.84,557,73293.8,1577,4.31,4,7819,28,45,0,"Jan, 2024",5,781,1.27
"ipad 2022",2312,Electronics,Amazon,"Large Standard-Size",24,1089,556.38,12693,4946774.08,5669,4.74,4,41975,,0,-5,"Jan, 2024",6,536,2.22
"koss porta pro",2312,Electronics,FBA,"Large Standard-Size",2,32979,37.31,416,8455.52,2853,4.42,6,5218,54,-21,14,"Dec, 2022",4,157,0.68
"bocina alexa",2291,Electronics,FBA,"Large Standard-Size",5,22929,44.59,1575,39467.42,48599,4.26,6,8075,,-84,20,"Jun, 2023",4,282,0.13
"beat headphones wireless bluetooth noise cancelling sandstone",2277,Electronics,Amazon,"Large Standard-Size",10,1107,129.26,4210,595409.85,27037,4.50,5,61309,540,0,28,"Dec, 2023",0,166,4.50
"fire tv stick 4k max 2024",2276,Electronics,FBA,"Large Standard-Size",2,26937,66.98,7940,306003.86,16534,4.38,13,262281,-22,0,0,"Jan, 2024",1,70,9.10
"ricpind accesspro free channels tv streaming device",2276,Electronics,FBA,"Large Standard-Size",2,203699,158.83,309,21337.6,1487,2.83,2,8494,-42,0,0,-,0,25,8.26
"fall detection smart watch",2276,Electronics,FBA,"Large Standard-Size",6,46484,131.61,1300,188260.56,3051,4.00,6,9444,65,0,4,"Jan, 2024",3,370,1.34
"galaxy buds fe case",2274,Electronics,FBA,"Large Standard-Size",9,13414,11.32,508,5115.83,2658,4.41,2,5846,,0,0,"Jan, 2024",2,192,1.48
"bravo xl smart watch",2274,Electronics,FBA,"Large Standard-Size",3,79798,81.27,227,21826.48,141,4.15,2,8,,0,2,"Jan, 2024",1,166,2.51
"regleta de enchufes multiples",2274,Electronics,FBA,"Large Standard-Size",4,255,15.28,16272,241718.32,17559,4.75,2,179052,3,0,-12,"Jan, 2024",1,980,2.59
"apple air tagtag holder",2274,Electronics,FBA,"Small Standard-Size",9,1235,7.77,2860,23344.79,3118,4.64,2,49446,,-24,3,"Feb, 2023",0,305,1.80
"huawei freeclip",2274,Electronics,FBA,"Large Standard-Size",3,38531,42.21,442,18420.85,918,3.87,2,2024,,0,0,"Jan, 2024",2,100,4.50
"samsung galaxy buds fe",2274,Electronics,FBA,"Large Standard-Size",6,5792,63.93,1814,167761.49,5029,4.37,6,24931,160,7,0,"Jan, 2024",3,488,4.61
"meeting future challenges head on",2272,Electronics,FBA,"Large Standard-Size",5,210036,138.74,758,147523.4,8,3.88,2,,,-65,1,"Nov, 2023",0,285,51.31
"ipad for",2272,Electronics,Amazon,"Large Standard-Size",36,33,549.5,23149,12553373.78,11064,4.80,5,,,0,-1,"Jan, 2024",10,1000,2.15
"android tv box 2024",2272,Electronics,FBA,"Large Standard-Size",2,50879,46.62,126,7432.45,808,3.62,2,990,89,0,0,"Jan, 2024",1,315,7.01
"samsung earbuds wireless pro 3",2272,Electronics,FBA,"Large Standard-Size",4,4277,101.37,2671,297428.69,11331,4.35,7,36864,-22,-26,40,"Dec, 2023",0,664,4.30
"airpods pro 2 with charging case",2272,Electronics,FBA,"Large Standard-Size",3,5663,70.05,6945,916272.18,38925,4.27,4,160218,98,3,0,"Jan, 2024",2,5000,8.33
"apple clearance items",2272,Electronics,FBA,"Large Standard-Size",18,1402,15.17,26098,378807.32,49587,4.53,12,207211,214,0,-7,"Jan, 2024",0,890,2.15
"roku remote case",2207,Electronics,FBA,"Large Standard-Size",6,19200,7.8,768,6042.91,2185,4.48,2,14798,1,111,0,"Jan, 2024",4,427,2.08
"fujifilm xs20",2207,Electronics,Amazon,"Large Standard-Size",8,155707,1664.13,31,50413.75,133,4.61,8,495,-17,22,0,"Oct, 2022",0,73,0.48
"vizio tv remote replacement",2207,Electronics,FBA,"Large Standard-Size",1,4606,9.15,3374,32193.68,9304,4.58,3,37489,12,116,0,"Jan, 2023",4,1000,1.22
"dji action 2",2207,Electronics,FBA,"Large Standard-Size",3,204041,226.17,97,26521.03,1205,4.07,7,473,7,0,-10,"Jun, 2023",3,1000,0.58
"samsung s95c",2207,Electronics,FBM,N/A,12,216718,2492,177,275770.49,809,4.42,10,882,,0,1,"Nov, 2023",3,109,2.89
"hello kitty airpod pro case",2207,Electronics,FBA,"Large Standard-Size",6,48321,13.1,147,1984.56,265,4.15,2,2399,,0,0,"Jan, 2024",4,170,11.80
"satellite communicator",2207,Electronics,FBA,"Large Standard-Size",2,41255,326.25,216,59562.99,742,4.44,11,4496,-29,0,14,"Jun, 2022",5,211,0.67
"bose bluetooth headphones",2207,Electronics,Amazon,"Large Standard-Size",5,8136,212.49,4303,796222.03,14470,4.29,5,84462,344,-59,20,"Dec, 2023",7,253,1.48
"skar 15 inch subwoofer",2207,Electronics,FBA,"Small Oversize",6,175162,332.28,25,8417.91,358,4.47,2,525,-49,-76,18,"Mar, 2022",3,133,0.05
"camera rayban glasses",2207,Electronics,FBA,"Large Standard-Size",9,77541,112.96,329,58834.82,629,3.97,4,4308,68,0,0,"Dec, 2023",3,118,2.68
audio,2207,Electronics,FBA,"Large Standard-Size",4,5051,77.11,4004,147594.83,27849,4.29,4,24109,-19,43,0,"Jan, 2024",10,100000,0.71
"tiny tv",2207,Electronics,FBA,"Large Standard-Size",2,95228,49.79,166,8891.28,528,4.28,2,2496,-33,0,0,"Aug, 2023",5,2000,1.01
"sprocket printer",2207,Electronics,Amazon,"Large Standard-Size",4,69199,111.08,1440,71606.62,5563,4.38,4,20368,-18,-83,0,"Dec, 2022",7,130,0.81
"bluetooth photo printer",2207,Electronics,FBA,"Large Standard-Size",7,10227,101.67,2052,183372.66,6993,4.36,6,25128,-3,-112,0,"Dec, 2022",5,1000,2.68
"viewsonic 27 inch monitor",2207,Electronics,Amazon,"Small Oversize",1,79719,187.89,254,37304.52,1123,4.53,5,4240,-5,0,0,"Jan, 2024",3,175,1.80
"recording devices discrete",2207,Electronics,FBA,"Large Standard-Size",2,7629,54.77,1310,58406.08,1690,4.19,2,25274,59,0,0,"Jan, 2024",2,554,10.33
"40 tv",2207,Electronics,Amazon,"Small Oversize",4,23330,183.53,2858,468915.62,2652,4.39,9,30164,249,0,-7,"Jan, 2024",8,284,9.67
"gaming pc monitor",2207,Electronics,Amazon,"Small Oversize",6,3146,203.42,2069,339206.71,4153,4.46,6,23835,93,-34,-9,"Dec, 2023",6,2000,3.05
"ipad pro m1",2207,Electronics,Amazon,"Large Standard-Size",15,1479,581.81,6071,2635920.93,5816,4.65,4,41675,,-1,-1,"Nov, 2023",4,107,1.46
"hifiman sundara",2207,Electronics,FBA,"Large Standard-Size",1,59536,380.41,208,52937.79,1170,4.39,7,3145,25,17,0,"Dec, 2023",3,70,0.46
"hisense 65 inch tv",3146,Electronics,Amazon,"Large Oversize",6,106493,613.52,1081,355240.04,2041,4.30,19,3053,-99,0,7,"Nov, 2023",4,125,3.43
"hdmi splitter 1 in 4 out",3146,Electronics,FBA,"Large Standard-Size",2,35186,25.15,435,9635.98,2749,4.31,4,6172,3582,291,0,"Jan, 2024",4,260,1.37
"fire cube 4k max ultra hd 2023",3146,Electronics,FBA,"Large Standard-Size",1,9401,63.52,11021,545890.14,18886,4.31,23,170604,-13,20,-4,"Mar, 2022",0,51,1.71
"sony mp3 player",3146,Electronics,FBA,"Large Standard-Size",3,38741,89,564,24025.83,1844,3.99,5,5723,16,0,0,"Nov, 2023",6,153,1.43
"samsung 50 inch smart tv",3146,Electronics,FBM,"Medium Oversize",26,81614,613.85,299,135095.49,4234,4.31,7,2285,-70,-10,4,"Nov, 2023",5,164,0.43
"cheap gaming monitor",3146,Electronics,Amazon,"Small Oversize",5,3383,87.66,2531,212916.37,4878,4.47,3,25458,-18,0,-2,"Jan, 2024",5,3000,3.34
"peak design tripod",3146,Electronics,FBA,"Large Standard-Size",2,13327,44.97,8243,330110.6,3559,4.50,2,1270,,-21,13,"Nov, 2023",3,168,1.67
"power strip long cord",3146,Electronics,FBA,"Large Standard-Size",4,1914,24.12,5124,110751,5809,4.78,2,54108,-25,178,-2,"Jan, 2024",6,1000,3.30
"samsung galaxy watch 5 pro",3144,Electronics,FBA,"Large Standard-Size",4,18711,171.72,522,82314.56,1262,4.34,7,6070,-21,295,-8,"Jan, 2024",4,2000,2.49
"samsung the frame",3144,Electronics,FBM,"Small Oversize",15,126367,1293.47,83,91680.62,366,4.17,5,1588,-7,0,2,"Nov, 2022",7,128,2.08
"3d hologram fan",3144,Electronics,FBA,"Large Standard-Size",0,64746,53.1,141,7487.1,23,3.60,1,,,0,-3,"Dec, 2023",4,131,6.13
"headphones stand",3144,Electronics,FBA,"Large Standard-Size",4,7419,17.13,998,13334.81,2933,4.68,2,7971,-41,-15,0,"Jan, 2024",7,10000,1.83
"14 gauge speaker wire",3144,Electronics,FBA,"Large Standard-Size",8,24041,30.11,979,18366.95,6626,4.65,2,5317,3579,0,0,"Aug, 2022",5,405,1.77
"recordable button",3144,Electronics,FBA,"Large Standard-Size",1,24018,19.96,611,10673.11,1727,4.40,3,6825,10,78,0,"Dec, 2023",6,620,3.10
"instant photo booth",3144,Electronics,FBA,"Large Standard-Size",8,9076,77.99,2576,184227.4,9658,4.36,3,30763,55,-100,0,"Dec, 2023",4,766,0.97
"samsung galaxy tab a9",3144,Electronics,Amazon,"Large Standard-Size",11,1903,256.07,1591,397774.68,7261,4.43,13,26506,-35,0,-2,"Jan, 2024",4,162,6.62
"airtag wallet holder",3144,Electronics,FBA,"Small Standard-Size",4,33916,11.33,2233,25633.78,1119,4.49,1,9170,41,-42,0,"Dec, 2023",5,1000,2.54
gravastar,3143,Electronics,FBA,"Large Standard-Size",4,155978,107.07,571,35958.54,1260,4.31,4,4307,,0,0,"Jan, 2024",4,42,1.29
"rg6 coaxial cable",3143,Electronics,FBA,"Large Standard-Size",12,32229,33.01,433,6023.75,4225,4.59,3,4163,115,208,0,"Jan, 2024",6,957,1.42
"roku remotes",3143,Electronics,FBA,"Large Standard-Size",3,5284,11.08,7343,95155.19,9720,4.43,2,140692,13,64,0,"Sep, 2023",8,1000,3.64
"dongle adapter usb c",3143,Electronics,FBA,"Small Standard-Size",4,1942,9.03,4814,41514.69,6607,4.25,2,73444,,69,0,"Jan, 2024",3,1000,6.88
"portable screen for laptop",3143,Electronics,FBA,"Large Standard-Size",4,2321,144.82,3693,407619.48,1924,4.48,5,55704,13,230,-12,"Jan, 2024",5,1000,3.42
"headphones skullcandy",3141,Electronics,Amazon,"Large Standard-Size",4,5928,60.78,1503,103314.24,7227,4.41,7,22825,74,-13,-6,"Nov, 2023",8,451,1.29
"jbl noise cancelling headphones",3141,Electronics,FBM,"Large Standard-Size",6,10407,82.79,4765,329645.66,10338,4.42,8,42454,86,0,111,"Nov, 2023",5,679,1.09
"monitor 32 inch",3141,Electronics,Amazon,"Small Oversize",4,9542,221.63,832,165660.19,2551,4.50,9,8474,17,0,20,"Nov, 2023",7,553,4.31
"kodak gold 200",3141,Electronics,FBA,"Large Standard-Size",1,89697,22.67,1072,29412.13,853,4.63,11,16679,25,0,-4,"Jan, 2024",3,108,1.30
"double din",3141,Electronics,FBA,"Large Standard-Size",2,19320,83.15,529,45388.82,757,4.00,3,7680,45,63,-3,"Jan, 2024",9,2000,2.23
"apple tag holder",3141,Electronics,FBA,"Small Standard-Size",11,1392,8.87,2619,21322.02,2616,4.62,2,46248,,-23,-5,"Sep, 2023",5,1000,2.69
"cambridge audio",3141,Electronics,FBA,"Small Oversize",1,138529,782.69,18,8725.11,127,4.52,7,246,16,0,0,"Mar, 2022",6,3000,0.34
"samsung flip phone",3139,Electronics,FBM,"Large Standard-Size",5,79438,484.46,11,3446.05,304,4.10,5,157,-94,200,-15,"Jul, 2022",7,20000,0.06
"gopro head mount",3139,Electronics,FBA,"Large Standard-Size",0,22413,19.99,1547,38544.76,21599,4.53,7,21600,-2,-15,0,"Dec, 2022",4,1000,0.18
"car on-dash mounted cameras",3139,Electronics,FBA,"Large Standard-Size",1,4652,120.28,2984,322016.55,3989,4.40,3,56158,57,0,1,"Dec, 2023",4,2000,3.15
"ds18 6x9",3139,Electronics,FBA,"Large Standard-Size",5,72664,117.9,116,9018.46,369,4.36,5,1676,43,37,0,"Apr, 2022",3,124,0.67
"jbl clip 3",3139,Electronics,FBA,"Large Standard-Size",10,108206,43.86,1371,59021.64,12963,4.68,5,1798,-3,-34,-3,"Dec, 2023",4,225,3.21
"bose wired earbuds",3139,Electronics,FBA,"Large Standard-Size",5,10117,87.63,2827,198225.03,32415,4.26,7,51751,489,1800,0,"Dec, 2023",4,189,2.87
"toddler headphones for 2+ year old",3138,Electronics,FBA,"Large Standard-Size",9,3779,19.97,2608,48681.62,7272,4.50,2,35360,90,70,0,"Aug, 2023",4,404,1.43
"video cameras for filming",3138,Electronics,FBA,"Large Standard-Size",4,20893,217.24,618,121139,1706,4.23,4,18477,-2,0,0,"Dec, 2023",5,3000,3.04
"kindle remote",3138,Electronics,FBA,"Large Standard-Size",2,51626,24.63,3611,114141.25,1049,4.13,2,89,,0,4,"Jan, 2024",5,149,9.88
"4k video camera",3138,Electronics,FBA,"Large Standard-Size",4,24560,176.2,868,98565.8,2483,4.36,3,18010,-5,0,-2,"Jan, 2024",6,3000,2.47
"laptop desk stand",3138,Electronics,FBA,"Large Standard-Size",2,1256,38.99,2362,92094.38,4009,4.50,2,23803,6,160,0,"Oct, 2023",7,4000,0.59
"velcro strap",3138,Electronics,FBA,"Large Standard-Size",6,12883,11.04,1489,16641.67,3657,4.59,2,18083,3,322,0,"Oct, 2023",8,6000,1.00
"samsung buds pro 2 case",3136,Electronics,FBA,"Large Standard-Size",11,8064,12.14,566,6083.79,2075,4.31,2,7305,26,0,0,"Jan, 2023",3,424,1.80
"luggage tracker",3136,Electronics,FBA,"Small Standard-Size",4,21909,31.42,5611,254073.32,18819,4.39,2,145931,-3,0,0,"Jan, 2024",6,1000,1.40
"bluetooth mp3 player",3136,Electronics,FBA,"Large Standard-Size",4,9715,33.99,445,15161.07,1836,4.14,2,4824,-48,0,0,"Feb, 2024",7,742,3.33
"studless tv wall mount",3136,Electronics,FBA,"Large Standard-Size",2,22522,20.94,1466,28580.56,1807,4.63,2,992,,86,0,"Oct, 2023",2,225,1.46
"mac mini dock",3136,Electronics,FBA,"Large Standard-Size",2,55153,91.59,492,65049.58,345,4.24,2,4489,43,-42,-3,"Aug, 2023",3,1000,1.15
"kodak film",3134,Electronics,FBA,"Large Standard-Size",1,6579,31.21,2044,57708.87,3403,4.70,15,23897,1804,30,0,"Jun, 2023",7,1000,1.62
"gaming monitor 27 inch",3134,Electronics,Amazon,"Small Oversize",7,3726,149.54,1731,221815.29,4986,4.55,7,15632,149,106,-6,"Jan, 2024",6,1000,0.60
"gopro max 360",3134,Electronics,FBM,"Large Standard-Size",1,123322,427.71,216,77218.44,412,4.30,3,1073,-28,0,1,"Jun, 2022",3,192,0.63
"tile slim",3134,Electronics,FBA,"Small Standard-Size",2,82550,36.36,3314,85611.16,13234,4.24,4,45681,-31,-19,0,"Dec, 2022",6,163,1.09
"microsoft surface go",3134,Electronics,FBM,"Large Standard-Size",3,48315,391.45,225,96612.97,677,4.33,7,1112,523,0,-3,"Jul, 2023",6,376,5.97
"mac docking station",3134,Electronics,FBA,"Large Standard-Size",2,5655,122.99,769,114726.77,1165,4.36,3,8530,-18,0,0,"Jan, 2024",6,1000,1.43
"iphone 15 headphone adapter",3134,Electronics,FBA,"Small Standard-Size",5,3550,9.06,6534,67376.29,32111,4.23,2,120901,,111,0,"Jan, 2024",3,659,5.47
"jabra elite",3134,Electronics,FBA,"Large Standard-Size",5,44705,85.63,543,38715.55,3055,4.00,5,5876,69,-57,24,"Nov, 2023",7,165,1.10
"48 inch tv",3134,Electronics,Amazon,"Small Oversize",12,11692,467.27,2310,545145.18,1969,4.43,16,30452,531,236,-1,"Nov, 2023",6,131,3.85
"sony headphones wired",3134,Electronics,Amazon,"Large Standard-Size",3,34943,95.46,2213,56746.95,12811,4.42,5,25276,26,122,0,"Aug, 2023",5,740,0.21
"airpod ear hooks",3134,Electronics,FBA,"Small Standard-Size",6,17808,10.78,887,10877.92,6438,4.14,2,10695,,74,0,"Jan, 2024",5,399,1.18
"podcast camera",3134,Electronics,FBA,"Large Standard-Size",4,9841,131.49,666,70542.46,1203,4.05,2,11699,-13,-43,-2,"Dec, 2023",4,1000,1.20
