Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"portable wifi router",2838,Electronics,FBA,"Large Standard-Size",2,25399,105.56,992,90758.6,2720,4.06,4,9110,30,0,0,"Jan, 2024",5,1000,1.61
"dual monitor docking station",2838,Electronics,FBA,"Large Standard-Size",3,6766,83.32,1189,89658.09,2196,4.36,6,12204,73,171,0,"Jan, 2024",6,2000,2.34
"logitech h390",2838,Electronics,FBA,"Small Standard-Size",0,50969,9.97,87,865.79,51,4.85,1,1113,,84,1,"Jan, 2024",5,150,1.32
"tessan surge protector",2838,Electronics,FBA,"Large Standard-Size",4,9441,25.17,3882,85962.44,3956,4.77,2,38640,-30,0,-5,"Jan, 2024",3,212,3.12
"garmin venu sq",2838,Electronics,FBA,"Large Standard-Size",3,86851,161.55,370,52094.86,1874,4.34,5,5680,157,0,0,"Dec, 2023",4,145,0.96
"blink - sync module",2838,Electronics,FBA,"Large Standard-Size",0,2544,9.99,1027,10259.73,1279,4.70,1,3336,,86,-1,"Jan, 2024",6,188,0.81
stopwatt,2838,Electronics,FBA,"Large Standard-Size",3,62294,21.26,251,4432,715,3.86,2,84,,0,0,"Jan, 2024",3,197,13.18
"forerunner 265",2838,Electronics,FBA,"Large Standard-Size",10,57409,323.58,273,90971.75,1918,4.46,8,4151,-42,0,0,"Jun, 2023",4,114,2.44
"3.5mm to lightning adapter",2838,Electronics,FBA,"Small Standard-Size",4,8155,10.89,6553,59902.04,23670,4.30,3,124787,,111,0,"Jan, 2024",4,642,0.93
"canon eos r100",2838,Electronics,FBM,"Large Standard-Size",2,158150,552.64,243,124848.82,587,4.74,5,38347,16,0,-5,"Dec, 2023",4,158,4.74
"camara canon",2838,Electronics,FBM,"Large Standard-Size",3,10501,338.57,2007,306840.34,1396,4.46,6,24702,606,-25,-1,"Dec, 2023",7,1000,13.64
"rtl sdr",2838,Electronics,FBA,"Large Standard-Size",0,97827,36.62,55,1522.6,237,4.37,2,396,-29,156,0,"Jan, 2024",5,246,0.22
"roku app",2838,Electronics,Amazon,"Large Standard-Size",1,676,37.75,13415,602952.95,35032,4.60,24,175313,65,17,38,"Nov, 2022",4,1000,2.02
"sonos beam",2838,Electronics,FBM,"Small Oversize",2,51127,424.77,703,247094.73,3394,4.47,7,8701,-53,4,16,"Jul, 2022",5,155,0.43
"fuji x100v",2838,Electronics,FBM,"Large Standard-Size",4,155381,1873.98,12,17415.16,112,4.60,6,285,-28,0,12,"Jan, 2024",3,135,1.35
"garmin striker 4",2838,Electronics,FBA,"Large Standard-Size",2,107795,156.84,125,17241.57,1108,4.54,15,2097,-9,2,0,"Jun, 2022",5,140,1.08
"svs subwoofers",2838,Electronics,FBM,"Small Oversize",1,142696,1181.3,47,17500.95,227,4.49,12,505,-23,-50,0,"Nov, 2023",5,163,0.18
"universal roku remote",2838,Electronics,FBA,"Large Standard-Size",4,5807,11.68,5395,67182.89,12003,4.31,2,69377,46,64,0,"Sep, 2023",5,1000,1.19
sprocket,2838,Electronics,Amazon,"Large Standard-Size",7,87235,68.32,1231,59156.77,4727,4.49,5,16248,97,-32,0,"Dec, 2022",9,251,1.51
"samsung g9",2838,Electronics,Amazon,"Medium Oversize",4,8127,1088.21,696,609852.83,3681,4.22,7,8411,6,-53,22,"Nov, 2023",5,74,1.51
"ipad 11 pro",2838,Electronics,FBM,"Large Standard-Size",20,1857,1084.95,1635,1799904.78,1713,4.75,3,41675,,15,7,"Feb, 2023",8,10000,0.95
"15 subwoofer",2838,Electronics,FBM,"Small Oversize",4,100157,182.83,22,8611.56,323,4.21,9,216,1854,0,24,"Apr, 2022",8,603,0.29
"bose noise cancelling earbuds",2838,Electronics,Amazon,"Large Standard-Size",8,7243,157.61,4426,647042.47,13506,4.23,6,67488,501,-26,8,"Dec, 2023",6,173,1.38
"jbl car speakers",2838,Electronics,FBA,"Large Standard-Size",2,50734,77.91,146,11612.3,1220,4.46,5,2406,560,-64,-12,"Mar, 2022",6,549,0.72
"amazon watch",2838,Electronics,Amazon,"Large Standard-Size",7,24290,85.4,1716,97903.96,6118,4.13,3,13758,-36,21,12,"Dec, 2022",7,10000,0.88
"kindle for kids",2838,Electronics,FBA,"Large Standard-Size",7,10962,70.92,1669,150964.22,5186,4.17,1,22254,-13,-1,8,"Dec, 2023",8,157,0.70
"wireless speakers for tv",2838,Electronics,FBA,"Large Standard-Size",3,16679,100.27,1272,119965.37,12872,4.25,3,13848,-19,12,0,"Dec, 2023",7,10000,0.98
bodycam,2838,Electronics,FBA,"Large Standard-Size",1,19747,83,208,17252.03,650,4.33,2,3346,-14,73,-1,"Jan, 2024",4,459,1.79
"bluetooth ear buds",2838,Electronics,FBA,"Large Standard-Size",7,353,25.12,10803,292323.34,33185,4.43,3,95004,,0,-1,"Jan, 2024",7,7000,2.34
"double din stereo",2838,Electronics,FBA,"Large Standard-Size",2,11665,106.37,616,58852.36,878,4.11,7,7724,86,0,-8,"Jan, 2024",8,2000,3.18
"fire tv 4k",2838,Electronics,FBA,"Large Standard-Size",1,27,38.8,26705,1058036.85,51006,4.70,31,334716,-14,17,38,"Nov, 2022",7,554,0.61
"tv mount 50+ in",2838,Electronics,FBA,"Large Standard-Size",1,1078,31.68,5848,197751.82,15858,4.69,2,116778,,121,-4,"Jan, 2024",6,1000,1.29
"pillow speakers for sleeping",2838,Electronics,FBA,"Large Standard-Size",6,36793,18.02,1488,27902.78,5969,3.83,3,94922,,0,-5,"Jan, 2024",3,330,1.47
"tv headphones wireless for seniors",2838,Electronics,FBA,"Large Standard-Size",1,17362,94.28,618,65395.75,2076,4.22,3,8865,12,0,0,"Dec, 2023",2,273,1.59
ihome,2838,Electronics,FBA,"Large Standard-Size",3,126474,54.19,617,19819.71,1917,4.16,4,8353,-50,-37,0,"Dec, 2022",9,1000,0.85
"corner tv mount",2838,Electronics,FBA,"Large Standard-Size",1,14161,48.67,3360,95803.28,10271,4.67,2,1464,,-15,0,"Jan, 2024",7,561,1.47
